"ctrycode","mktcode","market","geometry","avg_price"
"AO",200,"Luanda",c(13.234444, -8.838333),1.79720872549656
"BJ",401,"Cotonou",c(2.433333, 6.366667),0.606951145786582
"BJ",402,"Malanville",c(3.393031, 11.861949),0.256567582218878
"BJ",403,"Natitingou",c(1.388616, 10.31291),0.459094096662022
"BJ",404,"Parakou",c(2.616667, 9.35),0.311403832836394
"BW",110,"Gaborone",c(25.908739, -24.65411),0.26228399962343
"BF",405,"Bobo Dioulasso",c(-4.291773, 11.1781),0.112656119166655
"BF",406,"Dedougou",c(-3.463617, 12.45462),0.15638229783401
"BF",407,"Fada Ngourma",c(0.360972, 12.05481),0.161333380339798
"BF",408,"Ouagadougou",c(-1.533864, 12.364637),0.208012979921718
"BI",201,"Bujumbura",c(29.359349, -3.376217),0.301182511716118
"BI",202,"Gitega",c(29.92979, -3.429664),0.253978883572772
"BI",203,"Muyinga",c(30.333333, -2.85),0.23815783521282
"CM",410,"Bamenda",c(10.14751, 5.958647),0.436425875711021
"CM",411,"Douala",c(9.706374, 4.047486),0.468362652716978
"CM",412,"Garoua",c(13.4, 9.3),0.45339158756309
"CM",413,"Yaounde",c(11.516667, 3.866667),0.496943579458504
"CF",210,"Bambari",c(20.670971, 5.759174),0.161937623607394
"CF",211,"Bangassou",c(22.822321, 4.740849),0.075678806869403
"CF",212,"Bangui",c(18.555975, 4.361698),0.617961160147281
"TD",414,"Abeche",c(20.834722, 13.833056),0.276712498957948
"TD",415,"Moundou",c(16.083333, 8.566667),0.283616759840113
"TD",416,"Ndjamena",c(15.044506, 12.104797),0.439414370366172
"TD",417,"Sarh",c(18.383333, 9.15),0.305890159943989
"CG",213,"Brazzaville",c(15.283333, -4.266667),0.219382231219124
"CG",214,"Impfondo",c(18.053938, 1.625945),0.0917184957772798
"CG",215,"Pointe Noire",c(11.86364, -4.77867),0.0813094120061119
"CI",420,"Abengourou",c(-3.490142, 6.72718),0.145173550735011
"CI",421,"Abidjan",c(-4.027751, 5.336318),0.141152197391293
"CI",422,"Bouake",c(-5.030654, 7.688089),0.33072409089766
"CI",423,"Daloa",c(-6.45, 6.883333),0.123134457586537
"CI",424,"Man",c(-7.55, 7.4),0.333452167172925
"CI",425,"Odienne",c(-7.566667, 9.516667),0.178857047369655
"CD",220,"Bandundu",c(17.385599, -3.315234),0.790846563010668
"CD",221,"Bukavu",c(28.845079, -2.515364),0.918405489462656
"CD",222,"Bunia",c(30.25, 1.566667),0.915825962912574
"CD",223,"Butembo",c(29.287371, 0.127752),0.808970411859834
"CD",224,"Gbadolite",c(21.017801, 4.28704),0.942252957360635
"CD",225,"Goma",c(29.235665, -1.685674),0.851326152043404
"CD",226,"Isiro",c(27.608277, 2.772236),0.924494600063442
"CD",121,"Kalemie",c(29.189992, -5.941258),0.837703993859435
"CD",122,"Kamina",c(24.995171, -8.735764),0.896983293070856
"CD",227,"Kananga",c(22.402781, -5.892211),0.838202963564435
"CD",228,"Kikwit",c(18.816191, -5.040981),0.686268605026998
"CD",229,"Kindu",c(25.95, -2.95),0.753695327314772
"CD",230,"Kinshasa",c(15.313889, -4.331667),0.942462539050594
"CD",231,"Kisangani",c(25.19615, 0.519285),0.558324797778193
"CD",123,"Kolwezi",c(25.466667, -10.716667),0.986054812476163
"CD",124,"Lubumbashi",c(27.479553, -11.664677),0.91225274716345
"CD",232,"Matadi",c(13.450237, -5.837096),0.964383631746608
"CD",233,"Mbandaka",c(18.25596, 0.047647),0.656338612283003
"CD",234,"Mbuji Mayi",c(23.58983, -6.136985),0.903202845565827
"CD",235,"Tshikapa",c(20.8, -6.416667),1.11619022852369
"CD",236,"Uvira",c(29.132028, -3.425439),0.695972509271726
"CD",237,"Zongo",c(18.596971, 4.335618),0.716267709136953
"DJ",301,"Djibouti",c(43.145, 11.588),0.602257126271287
"ER",302,"Asmara",c(38.92617, 15.33236),0.102777777777778
"ER",303,"Massawa",c(39.438071, 15.621966),0.105555555555556
"ET",310,"Addis Ababa",c(38.746799, 9.022736),0.240031061813468
"ET",312,"Awasa",c(38.476711, 7.060202),0.196068177074716
"ET",313,"Bahir Dar",c(37.387999, 11.587697),0.209498071133631
"ET",314,"Dessie",c(39.633333, 11.133333),0.199744525021976
"ET",315,"Dire Dawa",c(41.87019, 9.589229),0.234379799644621
"ET",316,"Gambela",c(34.588169, 8.24478),0.133433833151945
"ET",240,"Gode",c(43.5655, 5.948498),0.160543557869324
"ET",317,"Gondar",c(37.466667, 12.6),0.201054228181296
"ET",241,"Jijiga",c(42.795519, 9.356784),0.195684033923871
"ET",318,"Jimma",c(36.83844, 7.678478),0.198523106094232
"ET",319,"Mekele",c(39.47353, 13.49614),0.226779294909354
"ET",320,"Nekemte",c(36.55, 9.083333),0.167029871544332
"ET",242,"Yabelo",c(38.100163, 4.894975),0.215554053964017
"GA",426,"Libreville",c(9.453644, 0.390841),0.614615384615385
"GM",427,"Banjul",c(-16.596306, 13.463881),0.29709339850815
"GH",428,"Accra",c(-0.196306, 5.555717),0.400684405022634
"GH",429,"Bolgatanga",c(-0.85, 10.783333),0.303340995372089
"GH",430,"Ho",c(0.471394, 6.599779),0.259509669950094
"GH",431,"Kumasi",c(-1.621969, 6.687119),0.335129110410986
"GH",432,"Sekondi Takoradi",c(-1.76806, 4.902676),0.305815792332874
"GH",433,"Tamale",c(-0.853333, 9.4075),0.26844048559995
"GH",434,"Wa",c(-2.5, 10.066667),0.302649091947198
"GN",435,"Conakry",c(-13.633211, 9.567324),0.303901107686718
"GN",436,"Kankan",c(-9.305553, 10.38404),0.351763284449153
"GN",438,"Labe",c(-12.283333, 11.316667),0.329460736347312
"GN",439,"Nzerekore",c(-8.818018, 7.754822),0.37910266268783
"GW",440,"Bissau",c(-15.6, 11.866667),0.68847674596323
"KE",243,"Eldoret",c(35.266369, 0.51524),0.236892404764795
"KE",244,"Garissa",c(39.646099, -0.453229),0.384659501591575
"KE",245,"Kisumu",c(34.767957, -0.091702),0.286314080936184
"KE",246,"Lodwar",c(35.6, 3.116667),0.499063668766539
"KE",247,"Mandera",c(41.855116, 3.935639),0.45804905927218
"KE",248,"Mombasa",c(39.668207, -4.043477),0.242365762751925
"KE",249,"Moyale",c(39.054771, 3.520711),0.255829449457269
"KE",250,"Nairobi",c(36.821946, -1.292066),0.275001581099291
"KE",251,"Nakuru",c(36.080026, -0.303099),0.161333333333333
"KE",252,"Wajir",c(40.058633, 1.748839),0.392877008989626
"LS",130,"Maseru",c(27.492215, -29.317303),0.305284960711467
"LR",441,"Gbarnga",c(-9.472111, 6.995572),0.281034367833968
"LR",442,"Monrovia",c(-10.703847, 6.264642),0.225622140550755
"MW",140,"Blantyre",c(35.005833, -15.786111),0.173149599685006
"MW",141,"Karonga",c(33.933333, -9.933333),0.210551894180426
"MW",142,"Lilongwe",c(33.783333, -13.983333),0.176382910475612
"MW",143,"Mangochi",c(35.263741, -14.47755),0.204256113177585
"MW",144,"Mzuzu",c(34.015131, -11.45807),0.19925387700772
"ML",443,"Bamako",c(-8, 12.65),0.295958700457894
"ML",444,"Gao",c(-0.044412, 16.272658),0.199404892987129
"ML",445,"Kayes",c(-11.437437, 14.455435),0.325824768641122
"ML",446,"Mopti",c(-4.183031, 14.48319),0.234615927581765
"ML",447,"Segou",c(-6.265322, 13.440597),0.213128067029327
"ML",448,"Sikasso",c(-5.666667, 11.316667),0.220873246459725
"MR",449,"Adel Bagrou",c(-7.022963, 15.675327),0.177393156301553
"MR",450,"Nouakchott",c(-15.97842, 18.084061),0.271361709092008
"MR",451,"Tintane",c(-10.166667, 16.4),0.0677940740164575
"MZ",145,"Beira",c(34.85, -19.833333),0.287778436795874
"MZ",146,"Chimoio",c(33.45, -19.116667),0.219743855753371
"MZ",147,"Cuamba",c(36.533773, -14.800088),0.211021631125525
"MZ",148,"Lichinga",c(35.23962, -13.30037),0.518698255065312
"MZ",149,"Maputo",c(32.583333, -25.966667),0.437490902605889
"MZ",150,"Maxixe",c(35.342424, -23.861186),0.199459775800588
"MZ",151,"Milange",c(35.772075, -16.096832),0.266495886191245
"MZ",152,"Nacala",c(40.688869, -14.56477),0.154925102174423
"MZ",153,"Nampula",c(39.266667, -15.116667),0.402522890067306
"MZ",154,"Pemba",c(40.517801, -12.973203),0.416093701744963
"MZ",155,"Quelimane",c(36.895033, -17.869851),0.175028955265698
"MZ",156,"Tete",c(33.6, -16.166667),0.235594035304155
"MZ",157,"Xai Xai",c(33.65, -25.05),0.161998450989634
"NA",160,"Katima Mulilo",c(24.275, -17.503889),0.477496089679714
"NA",161,"Oshakati",c(15.6994, -17.7836),0.602545746813376
"NA",162,"Swakopmund",c(14.5337, -22.67738),0.538631471801756
"NA",163,"Windhoek",c(17.082481, -22.558904),0.534835897426399
"NE",452,"Agadez",c(7.983333, 16.966667),0.307861529849405
"NE",453,"Arlit",c(7.297738, 18.680845),0.17735234420764
"NE",454,"Diffa",c(12.616667, 13.316667),0.157340980099592
"NE",455,"Maradi",c(7.1, 13.483333),0.244225926245155
"NE",456,"Niamey",c(2.112516, 13.512668),0.332851461999022
"NE",457,"Tahoua",c(5.266667, 14.9),0.173941389345601
"NE",458,"Zinder",c(8.988333, 13.805278),0.248364639325113
"NG",460,"Abuja",c(7.501085, 9.093874),0.286254237156776
"NG",461,"Akure",c(5.195, 7.25),0.324130616820716
"NG",462,"Benin City",c(5.618568, 6.361954),0.383051313290572
"NG",463,"Calabar",c(8.344818, 4.961736),0.374323247183542
"NG",464,"Enugu",c(7.510333, 6.452667),0.345196133650364
"NG",465,"Gombe",c(11.17479, 10.2824),0.21985257135498
"NG",466,"Ibadan",c(3.913472, 7.397893),0.288043743955013
"NG",467,"Ilorin",c(4.544642, 8.491656),0.256463156847389
"NG",468,"Jos",c(8.883333, 9.933333),0.283971979654529
"NG",469,"Kaduna",c(7.408788, 10.514968),0.251008216619588
"NG",470,"Kano",c(8.516667, 12),0.239356026081977
"NG",471,"Katsina",c(7.606163, 12.99302),0.223251968748394
"NG",472,"Lagos",c(3.365275, 6.517382),0.333423585508038
"NG",473,"Lokoja",c(6.726279, 7.792772),0.323776687491866
"NG",474,"Maiduguri",c(13.15, 11.833333),0.245433231457417
"NG",475,"Makurdi",c(8.536111, 7.730556),0.2978915613772
"NG",476,"Port Harcourt",c(7.005453, 4.784821),0.405250632941236
"NG",477,"Sokoto",c(5.245744, 13.05702),0.257315846913697
"NG",478,"Yola",c(12.465586, 9.212162),0.265492170006072
"RW",260,"Butare",c(29.737324, -2.602733),0.176401922108931
"RW",261,"Gisenyi",c(29.257469, -1.6955),0.103803038373972
"RW",262,"Kigali",c(30.058769, -1.950106),0.150301175843065
"SE",480,"Dakar",c(-17.366029, 14.764504),0.203705974746259
"SE",481,"Kaolack",c(-16.09609, 14.14322),0.155990168587934
"SE",482,"Saint Louis",c(-16.489531, 16.02463),0.227675549477056
"SE",483,"Tambacounda",c(-13.667222, 13.768889),0.161720254103302
"SE",484,"Touba",c(-15.883333, 14.866667),0.160495957886289
"SE",485,"Ziguinchor",c(-16.283951, 12.57994),0.132132876182403
"SL",490,"Bo",c(-11.740995, 7.955179),0.217022200507361
"SL",491,"Freetown",c(-13.206144, 8.479662),0.129474252565729
"SL",492,"Kabala",c(-11.55, 9.583333),0.083768091914696
"SO",270,"Baidoa",c(43.65, 3.116667),0.170675931085686
"SO",271,"Beledweyne",c(45.203972, 4.735972),0.201980691433446
"SO",273,"Bosaso",c(49.183333, 11.283333),0.396985939398332
"SO",274,"Galkayo",c(47.430833, 6.769722),0.351862369808173
"SO",275,"Garoowe",c(48.483333, 8.4),0.539579051506961
"SO",276,"Hargeisa",c(44.066667, 9.55),0.354083379742248
"SO",277,"Kismayo",c(42.545635, -0.349432),0.139845049316109
"SO",278,"Mogadishu",c(45.349516, 2.036884),0.222690453569634
"SS",331,"Bor",c(31.55, 6.22),0.361817200095359
"SS",279,"Juba",c(31.6, 4.85),0.417961406451682
"SS",332,"Malakal",c(31.655479, 9.529987),0.317480302176773
"SS",333,"Rumbek",c(29.68, 6.81),0.481865488895964
"SS",334,"Wau",c(27.99213, 7.696033),0.356547178893856
"SD",340,"Ad Damazin",c(34.35, 11.766667),0.231015988882929
"SD",341,"Al Fashir",c(25.349581, 13.62698),0.254970487442204
"SD",342,"Al Qadarif",c(35.383333, 14.033333),0.280647116289804
"SD",343,"El Geneina",c(22.45, 13.45),0.202978011643107
"SD",344,"El Obeid",c(30.216667, 13.183333),0.243932610611986
"SD",345,"Kadugli",c(29.716667, 11.016667),0.305838649016641
"SD",346,"Kassala",c(36.4, 15.45),0.294038005610632
"SD",347,"Khartoum",c(32.532241, 15.550101),0.434795043443498
"SD",348,"Kosti",c(32.66341, 13.16126),0.257188167606088
"SD",349,"Nyala",c(24.890409, 12.0558),0.324654734718634
"SD",350,"Port Sudan",c(37.216667, 19.616667),0.373713726159287
"SZ",165,"Mbabane",c(31.1437, -26.318689),0.179387047027178
"TZ",280,"Arusha",c(36.67445, -3.365789),0.333828718474359
"TZ",281,"Bukoba",c(31.807989, -1.322312),0.27224180989276
"TZ",282,"Dar es Salaam",c(39.269661, -6.822921),0.347684335338538
"TZ",283,"Dodoma",c(35.741944, -6.173056),0.360496712760409
"TZ",170,"Iringa",c(35.69, -7.77),0.32102338846912
"TZ",284,"Kigoma",c(29.633333, -4.883333),0.242898528921238
"TZ",171,"Mbeya",c(33.45, -8.9),0.310623696505663
"TZ",172,"Mtwara",c(40.183891, -10.27479),0.337829020531453
"TZ",285,"Musoma",c(33.8, -1.5),0.308266426656943
"TZ",286,"Mwanza",c(32.9, -2.516667),0.318923806140041
"TZ",287,"Singida",c(34.743549, -4.817443),0.331034633872217
"TZ",173,"Songea",c(35.651192, -10.68235),0.225990115394512
"TZ",174,"Sumbawanga",c(31.616667, -7.966667),0.250489782673586
"TZ",288,"Tabora",c(32.826279, -5.018062),0.276850687698247
"TZ",289,"Tanga",c(39.099206, -5.074081),0.319006262533451
"TG",493,"Kara",c(1.190556, 9.548889),0.442228241656683
"TG",494,"Lome",c(1.2125, 6.137778),0.55595152800308
"UG",290,"Arua",c(30.91, 3.03),0.185887809506112
"UG",291,"Gulu",c(32.284828, 2.77932),0.0663787469144215
"UG",292,"Jinja",c(33.203079, 0.437773),0.0633410129412825
"UG",293,"Kampala",c(32.581111, 0.313611),0.0760105457886471
"UG",294,"Lira",c(32.9, 2.248889),0.0597691689588529
"UG",295,"Masindi",c(31.70957, 1.68156),0.0702889134689108
"UG",296,"Mbarara",c(30.64855, -0.605675),0.126350811539699
"ZM",180,"Chipata",c(32.64547, -13.63237),0.195816960028271
"ZM",181,"Kabwe",c(28.446529, -14.44718),0.17392988917118
"ZM",182,"Kasama",c(31.182529, -10.2084),0.206833824862965
"ZM",183,"Kitwe",c(28.21314, -12.80383),0.210260189204863
"ZM",184,"Livingstone",c(25.85845, -17.857719),0.190146011852029
"ZM",185,"Lusaka",c(28.287167, -15.408193),0.214780314638051
"ZM",186,"Mongu",c(23.131861, -15.27749),0.170321310877378
"ZM",187,"Solwezi",c(26.4006, -12.18041),0.199548148234118
"ZW",190,"Bulawayo",c(28.58116, -20.17219),0.0952083333333334
"ZW",191,"Harare",c(31.053961, -17.82922),0.0938194444444444
"ZW",192,"Hwange",c(26.501539, -18.368719),0.076111111111111
"ZW",193,"Masvingo",c(30.832778, -20.074444),0.110555555555556
"ZW",194,"Mutare",c(32.65556, -18.97476),0.101041666666667
"SA",900,"Johannesburg",c(28.047305, -26.204103),0.195507637202253
